Stock,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,TodayDiff,PercentageChange,Average Price,Total Traded Quantity,Turnover,No of Trades,Deliverable Qty,Dly Qt to Traded Qty,status
4,12/13/17,113.8,113.9,115,112.6,114.5,114.05,0.25,0.22,114.01,10933962,1246633231,36716,3965856,36.27,3
4,12/14/17,114.05,114.5,114.8,111.1,112.05,112.05,-2,-1.754,112.31,11950647,1342201271,54334,4611496,38.59,1
4,12/15/17,112.05,114,114.4,112.3,112.9,112.75,0.7,0.625,112.98,9188447,1038151730,47945,3145149,34.23,3
4,12/18/17,112.75,112,115.95,105.95,114.5,114.3,1.55,1.375,113.63,16437780,1867777268,62907,4852016,29.52,2
4,12/19/17,114.3,115.25,118.55,114.5,118.2,118.15,3.85,3.368,116.57,12707741,1481304811,53767,4719366,37.14,2
4,12/20/17,118.15,118.1,119.5,117.2,117.45,117.8,-0.35,-0.296,118.42,8412028,996186934.7,40704,1815708,21.58,3
4,12/21/17,117.8,117.95,119.05,116.7,117.4,117.55,-0.25,-0.212,117.83,9259990,1091065430,28738,2675847,28.9,3
4,12/22/17,117.55,118.4,118.85,116.4,117.9,117.6,0.05,0.043,117.65,6908953,812852290.1,23909,1581390,22.89,3
4,12/26/17,117.6,118.6,120.35,118,119.1,119.15,1.55,1.318,119.2,8415655,1003169658,31007,2130921,25.32,2
4,12/27/17,119.15,119.25,120.2,117.5,118.2,118.6,-0.55,-0.462,118.95,8897773,1058373472,39797,2617599,29.42,3
4,12/28/17,118.6,118.65,118.8,117.2,117.6,117.7,-0.9,-0.759,118.08,5166001,610010793.5,17527,1492567,28.89,3
4,12/29/17,117.7,118,120,117.2,119.7,119.1,1.4,1.189,118.44,7755733,918618440.5,27504,2979213,38.41,2
4,01/01/18,119.1,119.65,122.5,118.05,118.65,118.65,-0.45,-0.378,120.57,10218058,1231994969,43098,2089194,20.45,3
4,01/02/18,118.65,119.25,123.85,117,123.5,123.35,4.7,3.961,121.59,27656711,3362836711,91859,5340367,19.31,2
4,01/03/18,123.35,124.75,125.8,123.75,124.6,124.5,1.15,0.932,124.78,22686568,2830878816,68757,7976993,35.16,3
4,01/04/18,124.5,125.25,127.35,123.8,126.9,126.95,2.45,1.968,125.82,17032019,2142968878,50307,8142502,47.81,2
4,01/05/18,126.95,127,128.2,126,127.25,127.45,0.5,0.394,127.08,8969607,1139880134,38238,3203125,35.71,3
4,01/08/18,127.45,127.9,129,126.9,128.5,128.45,1,0.785,128.02,8807108,1127524046,62497,4275013,48.54,3
4,01/09/18,128.45,130.2,132.6,129.5,130.25,130.5,2.05,1.596,131,20917588,2740289099,74428,6256054,29.91,2
4,01/10/18,130.5,130.3,130.5,126.7,127.8,127.95,-2.55,-1.954,128.06,8194879,1049421407,37564,2079781,25.38,1
4,01/11/18,127.95,127,128.9,126.05,127.1,127.05,-0.9,-0.703,127.2,10204509,1298019859,28420,4131823,40.49,3
4,01/12/18,127.05,127.5,129.15,125.1,128.65,128.65,1.6,1.259,127.57,8882198,1133102441,38128,2779868,31.3,2
4,01/15/18,128.65,128.95,129.35,125,126.1,126.1,-2.55,-1.982,126.86,9735164,1235025903,36644,4213402,43.28,1
4,01/16/18,126.1,126.1,126.4,121.6,123,122.3,-3.8,-3.013,123.57,11527983,1424502194,62974,4315726,37.44,1
4,01/17/18,122.3,122.1,124.8,119.5,124.3,124.45,2.15,1.758,123.17,10469892,1289626859,60756,2939864,28.08,2
4,01/18/18,124.45,124.2,125.3,120.1,120.5,120.9,-3.55,-2.853,122.39,10351616,1266914200,67876,3052484,29.49,1
4,01/19/18,120.9,120.8,121.5,118.7,121.4,121.05,0.15,0.124,120.25,9786893,1176859654,50955,3035881,31.02,3
4,01/22/18,121.05,121.65,121.95,119.2,120.85,121.05,0,0,120.59,7431883,896192199.5,66120,2491351,33.52,3
4,01/23/18,121.05,120.5,125.3,120.2,123.85,124,2.95,2.437,123.58,10962021,1354712720,65649,2899222,26.45,2
4,01/24/18,124,124,125.15,122.3,123.2,123.3,-0.7,-0.565,123.51,12152677,1500969940,78884,3873795,31.88,3
4,01/25/18,123.3,124.25,124.4,121.6,122.25,122.3,-1,-0.811,123.15,11367419,1399937689,64786,5744294,50.53,3
4,01/29/18,122.3,122.9,126.55,122.65,125.35,125.4,3.1,2.535,125.03,13757107,1720088485,67431,5124335,37.25,2
4,01/30/18,125.4,125.8,126.65,123.55,125.6,125.75,0.35,0.279,125.26,12328142,1544274461,48165,3758596,30.49,3
4,01/31/18,125.75,125.4,126.55,124.4,126.1,126.1,0.35,0.278,125.27,10040333,1257742795,43286,4798167,47.79,3
4,02/01/18,126.1,126.95,126.95,116.3,124.5,123.35,-2.75,-2.181,123.64,15946691,1971698771,67731,3430167,21.51,1
4,02/02/18,123.35,124.3,126.65,118.5,121.9,122.3,-1.05,-0.851,123.84,38049390,4712082949,142950,14149668,37.19,3
4,02/05/18,122.3,118.9,130,118.35,129.4,129.35,7.05,5.765,125.71,22945256,2884423720,98981,5838131,25.44,2
4,02/06/18,129.35,123,128.7,120.8,126.5,126.9,-2.45,-1.894,125.6,24648572,3095763239,106143,6316597,25.63,1
4,02/07/18,126.9,129.95,134,128.65,132.05,132.9,6,4.728,131.04,25341574,3320857685,98170,7478838,29.51,2
4,02/08/18,132.9,133.75,136.6,133.1,134.05,134.15,1.25,0.941,135.05,24389428,3293839820,89370,7419173,30.42,3
4,02/09/18,134.15,131,135.75,131,134.1,134.2,0.05,0.037,134.05,17062623,2287179722,61270,3712885,21.76,3
4,02/12/18,134.2,135.4,136.75,132.7,133.5,133.3,-0.9,-0.671,134.15,11892807,1595388028,55890,2898982,24.38,3
4,02/14/18,133.3,135.45,138.75,134.2,136.7,137.4,4.1,3.076,137.22,27373293,3756161137,95528,10905805,39.84,2
4,02/15/18,137.4,138.45,139.3,136.2,137.6,137.25,-0.15,-0.109,137.92,14544353,2005936170,63284,2873560,19.76,3
4,02/16/18,137.25,138.6,138.9,133.4,134,133.95,-3.3,-2.404,135.14,14941293,2019125914,60618,3241175,21.69,1
4,02/19/18,133.95,134.45,134.5,130.65,132.5,132.2,-1.75,-1.306,132.12,12180808,1609380482,58649,3429239,28.15,1
4,02/20/18,132.2,132.5,135.35,131.8,133.1,133.4,1.2,0.908,133.57,9905274,1323010339,45494,2650836,26.76,3
4,02/21/18,133.4,134,134.9,131.95,132.5,132.35,-1.05,-0.787,133.13,9506894,1265696766,35390,3195221,33.61,3
4,02/22/18,132.35,131.8,133.35,131.2,132.5,132.35,0,0,132.2,10189228,1346967586,29383,3628285,35.61,3
4,02/23/18,132.35,133,134.9,132.65,134.9,134.4,2.05,1.549,133.76,7724163,1033183093,30830,2384193,30.87,2
4,02/26/18,134.4,135.5,137.8,135.5,137.1,136.8,2.4,1.786,136.9,12024593,1646190846,44149,4160634,34.6,2
4,02/27/18,136.8,137.7,138.5,136.5,138,137.7,0.9,0.658,137.47,9397195,1291867255,35652,2672918,28.44,3
4,02/28/18,137.7,137.35,142.2,136.9,142,141.5,3.8,2.76,140.44,24992386,3509876863,99045,8123540,32.5,2
4,03/01/18,141.5,142.75,143.9,140.35,141.35,140.95,-0.55,-0.389,141.79,19650623,2786257331,79295,6997037,35.61,3
4,03/05/18,140.95,139.9,140.65,138.35,139.95,140.15,-0.8,-0.568,139.53,14686149,2049169767,75876,5506265,37.49,3
4,03/06/18,140.15,140.95,142.9,139.25,139.5,139.85,-0.3,-0.214,141.57,12648186,1790607762,50064,3528490,27.9,3
4,03/07/18,139.85,139.95,142.9,139.2,141.5,141.25,1.4,1.001,141.2,15519404,2191388043,61471,4309903,27.77,2
4,03/08/18,141.25,143.25,144.85,142.6,144.6,144.15,2.9,2.053,143.87,19712214,2836062886,109279,5047851,25.61,2
4,03/09/18,144.15,147,147.45,144.4,147.1,147,2.85,1.977,145.99,30193142,4407924635,103024,12537202,41.52,2
4,03/12/18,147,148,148.6,144.6,145.6,145.4,-1.6,-1.088,146.04,17320780,2529520075,65660,5928656,34.23,1
4,03/13/18,145.4,145.8,150.45,143.8,150.05,149.9,4.5,3.095,147.66,24601040,3632660622,75761,10297692,41.86,2
4,03/14/18,149.9,149.2,150.3,148.6,149.7,149.7,-0.2,-0.133,149.41,11802575,1763481707,51007,3080246,26.1,3
4,03/15/18,149.7,149.1,151.65,148.95,150.3,150.55,0.85,0.568,150.72,13458378,2028386215,76210,5870815,43.62,3
